"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"345";"5050";1000;2;50;9,00000000000001;5;0,054;0,04
"346";"7525";1000;2;50;9,00000000000001;5;0,048;0,037
"347";"9010";1000;2;50;9,00000000000001;5;0,052;0,036
"348";"9901";1000;2;50;9,00000000000001;5;0,07;0
"349";"5050";1000;2;50;10;5;0,059;0,05
"350";"7525";1000;2;50;10;5;0,053;0,061
"351";"9010";1000;2;50;10;5;0,059;0,052
"352";"9901";1000;2;50;10;5;0,049;0
"353";"5050";1000;2;50;20;5;0,061;0,06
"354";"7525";1000;2;50;20;5;0,052;0,059
"355";"9010";1000;2;50;20;5;0,066;0,04
"356";"9901";1000;2;50;20;5;0,074;0,001
"357";"5050";1000;2;50;50;5;0,106;0,095
"358";"7525";1000;2;50;50;5;0,089;0,073
"359";"9010";1000;2;50;50;5;0,071;0,068
"360";"9901";1000;2;50;50;5;0,216;0,003
"361";"5050";1000;2;50;100;5;0,268;0,279
"362";"7525";1000;2;50;100;5;0,19;0,196
"363";"9010";1000;2;50;100;5;0,114;0,108
"364";"9901";1000;2;50;100;5;0,633;0,031
"365";"5050";1000;2;50;1;10;0,052;0,048
"366";"7525";1000;2;50;1;10;0,055;0,053
"367";"9010";1000;2;50;1;10;0,064;0,042
"368";"9901";1000;2;50;1;10;0,062;0
"369";"5050";1000;2;50;2;10;0,054;0,05
"370";"7525";1000;2;50;2;10;0,044;0,053
"371";"9010";1000;2;50;2;10;0,056;0,052
"372";"9901";1000;2;50;2;10;0,046;0
"373";"5050";1000;2;50;3;10;0,043;0,067
"374";"7525";1000;2;50;3;10;0,046;0,055
"375";"9010";1000;2;50;3;10;0,06;0,046
"376";"9901";1000;2;50;3;10;0,038;0,001
"377";"5050";1000;2;50;4;10;0,058;0,051
"378";"7525";1000;2;50;4;10;0,065;0,047
"379";"9010";1000;2;50;4;10;0,077;0,044
"380";"9901";1000;2;50;4;10;0,057;0
"381";"5050";1000;2;50;5;10;0,045;0,058
"382";"7525";1000;2;50;5;10;0,051;0,059
"383";"9010";1000;2;50;5;10;0,057;0,05
"384";"9901";1000;2;50;5;10;0,048;0
"385";"5050";1000;2;50;6,00000000000001;10;0,055;0,052
"386";"7525";1000;2;50;6,00000000000001;10;0,051;0,054
"387";"9010";1000;2;50;6,00000000000001;10;0,048;0,049
"388";"9901";1000;2;50;6,00000000000001;10;0,049;0
"389";"5050";1000;2;50;7,00000000000001;10;0,049;0,055
"390";"7525";1000;2;50;7,00000000000001;10;0,058;0,05
"391";"9010";1000;2;50;7,00000000000001;10;0,062;0,047
"392";"9901";1000;2;50;7,00000000000001;10;0,046;0
"393";"5050";1000;2;50;8,00000000000001;10;0,054;0,064
"394";"7525";1000;2;50;8,00000000000001;10;0,042;0,059
"395";"9010";1000;2;50;8,00000000000001;10;0,057;0,048
"396";"9901";1000;2;50;8,00000000000001;10;0,058;0
"397";"5050";1000;2;50;9,00000000000001;10;0,054;0,049
"398";"7525";1000;2;50;9,00000000000001;10;0,061;0,051
"399";"9010";1000;2;50;9,00000000000001;10;0,058;0,051
"400";"9901";1000;2;50;9,00000000000001;10;0,057;0
"401";"5050";1000;2;50;10;10;0,034;0,048
"402";"7525";1000;2;50;10;10;0,049;0,055
"403";"9010";1000;2;50;10;10;0,065;0,043
"404";"9901";1000;2;50;10;10;0,052;0
"405";"5050";1000;2;50;20;10;0,045;0,058
"406";"7525";1000;2;50;20;10;0,049;0,045
"407";"9010";1000;2;50;20;10;0,048;0,044
"408";"9901";1000;2;50;20;10;0,066;0
"409";"5050";1000;2;50;50;10;0,053;0,068
"410";"7525";1000;2;50;50;10;0,065;0,061
"411";"9010";1000;2;50;50;10;0,064;0,04
"412";"9901";1000;2;50;50;10;0,114;0
"413";"5050";1000;2;50;100;10;0,088;0,102
"414";"7525";1000;2;50;100;10;0,078;0,08
"415";"9010";1000;2;50;100;10;0,069;0,061
"416";"9901";1000;2;50;100;10;0,256;0
"417";"5050";1000;5;50;1;1;0,045;0,053
"418";"7525";1000;5;50;1;1;0,049;0,05
"419";"9010";1000;5;50;1;1;0,069;0,044
"420";"9901";1000;5;50;1;1;0,06;0,038
"421";"5050";1000;5;50;2;1;0,077;0,062
"422";"7525";1000;5;50;2;1;0,05;0,073
"423";"9010";1000;5;50;2;1;0,063;0,055
"424";"9901";1000;5;50;2;1;0,067;0,053
"425";"5050";1000;5;50;3;1;0,079;0,075
"426";"7525";1000;5;50;3;1;0,081;0,065
"427";"9010";1000;5;50;3;1;0,06;0,051
"428";"9901";1000;5;50;3;1;0,056;0,06
"429";"5050";1000;5;50;4;1;0,079;0,104
"430";"7525";1000;5;50;4;1;0,085;0,084
"431";"9010";1000;5;50;4;1;0,074;0,079
"432";"9901";1000;5;50;4;1;0,069;0,063
"433";"5050";1000;5;50;5;1;0,139;0,122
"434";"7525";1000;5;50;5;1;0,107;0,099
"435";"9010";1000;5;50;5;1;0,082;0,072
"436";"9901";1000;5;50;5;1;0,074;0,061
"437";"5050";1000;5;50;6,00000000000001;1;0,186;0,163
"438";"7525";1000;5;50;6,00000000000001;1;0,132;0,139
"439";"9010";1000;5;50;6,00000000000001;1;0,089;0,094
"440";"9901";1000;5;50;6,00000000000001;1;0,084;0,112
"441";"5050";1000;5;50;7,00000000000001;1;0,224;0,225
"442";"7525";1000;5;50;7,00000000000001;1;0,186;0,164
"443";"9010";1000;5;50;7,00000000000001;1;0,107;0,097
"444";"9901";1000;5;50;7,00000000000001;1;0,106;0,11
"445";"5050";1000;5;50;8,00000000000001;1;0,282;0,274
"446";"7525";1000;5;50;8,00000000000001;1;0,201;0,195
"447";"9010";1000;5;50;8,00000000000001;1;0,118;0,12
"448";"9901";1000;5;50;8,00000000000001;1;0,14;0,128
"449";"5050";1000;5;50;9,00000000000001;1;0,355;0,37
"450";"7525";1000;5;50;9,00000000000001;1;0,268;0,261
"451";"9010";1000;5;50;9,00000000000001;1;0,145;0,132
"452";"9901";1000;5;50;9,00000000000001;1;0,126;0,139
"453";"5050";1000;5;50;10;1;0,402;0,393
"454";"7525";1000;5;50;10;1;0,295;0,301
"455";"9010";1000;5;50;10;1;0,152;0,154
"456";"9901";1000;5;50;10;1;0,165;0,179
"457";"5050";1000;5;50;20;1;0,935;0,908
"458";"7525";1000;5;50;20;1;0,827;0,821
"459";"9010";1000;5;50;20;1;0,435;0,54
"460";"9901";1000;5;50;20;1;0,404;0,505
"461";"5050";1000;5;50;50;1;1;1
"462";"7525";1000;5;50;50;1;1;1
"463";"9010";1000;5;50;50;1;0,98;1
"464";"9901";1000;5;50;50;1;0,975;0,996
"465";"5050";1000;5;50;100;1;1;1
"466";"7525";1000;5;50;100;1;1;1
"467";"9010";1000;5;50;100;1;1;1
"468";"9901";1000;5;50;100;1;1;1
"469";"5050";1000;5;50;1;2;0,039;0,049
"470";"7525";1000;5;50;1;2;0,048;0,051
"471";"9010";1000;5;50;1;2;0,065;0,06
"472";"9901";1000;5;50;1;2;0,061;0,009
"473";"5050";1000;5;50;2;2;0,059;0,06
"474";"7525";1000;5;50;2;2;0,065;0,05
